:GT2K_LOG,1
:LOGGING_ID,13
:LOGGING_NAME,"MSAPシード剥離紐付けデータlog2"
:SERIAL_ID,224
:DEVICE_NUM,25
:RECORD_NUM,1
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,
:DEV_COMMENT,"設備コード","モデル名","パネルID","レシピ","開始時間",,,,,,"終了時間",,,,,,"新水水洗3　下側圧力Max","新水水洗3　下側圧力Ave","新水水洗3　下側圧力Min","ﾌﾟﾚｴｱｰｶｯﾄ　実処理時間","ｴｱｰｶｯﾄ　実処理時間","乾燥　実処理時間","乾燥　温度Max","乾燥　温度Ave","乾燥　温度Min"
:DEV_TYPE,STRING,STRING,STRING,STRING,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16_Unsigned,BIN16_Unsigned,BIN16_Unsigned,BIN16_Unsigned,BIN16_Unsigned,BIN16_Unsigned
:DISP_TYPE,ASC,ASC,ASC,ASC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,UNSIGNED_DEC,UNSIGNED_DEC,UNSIGNED_DEC,UNSIGNED_DEC,UNSIGNED_DEC,UNSIGNED_DEC
:DEV_SIZE,3,6,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2024/03/11 02:26:00,,"LEV50001_020","                ","1   ",2024,3,11,2,15,19,2024,3,11,2,25,59,10,10,10,15,23,32,605,603,601
