:GT2K_ALARM_LOG_HISTORY,0
:ALARM_ID,22
:ALARM_NAME,"2_ULD_STS"
:RECORD_NUM,5000
:COMMENT_GROUP_GENERAL_ID,200
:COMMENT_GROUP_MIDDLE_ID,0
:COMMENT_GROUP_UPPER_ID,0
:COMMENT_GROUP_DETAIL_ID,0
:ALARM_HISTORY_NUM,5000
:NOT_RESUMED_NUM,1
:UNCONFIRMED_NUM,5000
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,
UPPER_NO,MIDDLE_NO,COMMENT_NO,COMMENT,STATUS,OCCURRED,RESTORED,CHECKED,LEVEL,GROUP
0,0,4,"E04:異常発生",R,2024/02/17 01:09:12,2024/02/17 01:09:18,****/**/** **:**:**,1,1
0,0,7,"E07:不足満杯",R,2024/02/17 01:09:18,2024/02/17 01:10:14,****/**/** **:**:**,1,1
0,0,4,"E04:異常発生",R,2024/02/17 01:10:14,2024/02/17 01:10:22,****/**/** **:**:**,1,1
0,0,7,"E07:不足満杯",R,2024/02/17 01:10:22,2024/02/17 01:11:18,****/**/** **:**:**,1,1
0,0,4,"E04:異常発生",R,2024/02/17 01:11:18,2024/02/17 01:11:24,****/**/** **:**:**,1,1
0,0,7,"E07:不足満杯",R,2024/02/17 01:11:24,2024/02/17 01:12:22,****/**/** **:**:**,1,1
0,0,4,"E04:異常発生",R,2024/02/17 01:12:22,2024/02/17 01:12:28,****/**/** **:**:**,1,1
0,0,7,"E07:不足満杯",R,2024/02/17 01:12:28,2024/02/17 01:13:26,****/**/** **:**:**,1,1
0,0,4,"E04:異常発生",R,2024/02/17 01:13:26,2024/02/17 01:13:32,****/**/** **:**:**,1,1
0,0,7,"E07:不足満杯",R,2024/02/17 01:13:32,2024/02/17 01:14:28,****/**/** **:**:**,1,1
0,0,4,"E04:異常発生",R,2024/02/17 01:14:28,2024/02/17 01:14:34,****/**/** **:**:**,1,1
0,0,7,"E07:不足満杯",R,2024/02/17 01:14:34,2024/02/17 01:15:32,****/**/** **:**:**,1,1
0,0,4,"E04:異常発生",R,2024/02/17 01:15:32,2024/02/17 01:15:38,****/**/** **:**:**,1,1
0,0,7,"E07:不足満杯",R,2024/02/17 01:15:38,2024/02/17 01:16:36,****/**/** **:**:**,1,1
0,0,4,"E04:異常発生",R,2024/02/17 01:16:36,2024/02/17 01:16:43,****/**/** **:**:**,1,1
0,0,7,"E07:不足満杯",R,2024/02/17 01:16:43,2024/02/17 01:17:38,****/**/** **:**:**,1,1
0,0,4,"E04:異常発生",R,2024/02/17 01:17:38,2024/02/17 01:17:44,****/**/** **:**:**,1,1
