:GT2K_ALARM_LOG_HISTORY,0
:ALARM_ID,3
:ALARM_NAME,"0_LD_STS_raw"
:RECORD_NUM,5000
:COMMENT_GROUP_GENERAL_ID,1
:COMMENT_GROUP_MIDDLE_ID,0
:COMMENT_GROUP_UPPER_ID,0
:COMMENT_GROUP_DETAIL_ID,0
:ALARM_HISTORY_NUM,5000
:NOT_RESUMED_NUM,4
:UNCONFIRMED_NUM,5000
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,
UPPER_NO,MIDDLE_NO,COMMENT_NO,COMMENT,STATUS,OCCURRED,RESTORED,CHECKED,LEVEL,GROUP
0,0,12,"不足、満杯中(LD→全設備)",R,2023/11/17 11:53:06,2023/11/17 11:53:20,****/**/** **:**:**,1,1
0,0,13,"装置内部パネル無(LD→全設備)",R,2023/11/17 11:53:06,2023/11/17 13:07:24,****/**/** **:**:**,1,1
0,0,11,"安全ｶﾊﾞｰ開中(LD→全設備)",R,2023/11/17 11:53:16,2023/11/17 11:53:42,****/**/** **:**:**,1,1
0,0,5,"原点復帰完了(LD→全設備)",R,2023/11/17 11:53:18,2023/11/17 11:53:36,****/**/** **:**:**,1,1
0,0,4,"原点復帰モード(LD→全設備)",R,2023/11/17 11:53:52,2023/11/17 11:53:54,****/**/** **:**:**,1,1
0,0,3,"手動モード(LD→全設備）",R,2023/11/17 11:53:54,2023/11/17 11:54:08,****/**/** **:**:**,1,1
0,0,5,"原点復帰完了(LD→全設備)",R,2023/11/17 11:53:54,2023/11/17 11:54:00,****/**/** **:**:**,1,1
0,0,5,"原点復帰完了(LD→全設備)",R,2023/11/17 11:54:04,2023/11/17 12:04:50,****/**/** **:**:**,1,1
0,0,6,"自動モード(LD→全設備)",R,2023/11/17 11:54:08,2023/11/17 11:55:44,****/**/** **:**:**,1,1
0,0,12,"不足、満杯中(LD→全設備)",R,2023/11/17 11:54:08,2023/11/17 11:55:44,****/**/** **:**:**,1,1
0,0,3,"手動モード(LD→全設備）",R,2023/11/17 11:55:44,2023/11/17 13:06:10,****/**/** **:**:**,1,1
0,0,5,"原点復帰完了(LD→全設備)",R,2023/11/17 12:04:52,2023/11/17 13:05:08,****/**/** **:**:**,1,1
0,0,12,"不足、満杯中(LD→全設備)",R,2023/11/17 13:05:08,2023/11/17 13:05:18,****/**/** **:**:**,1,1
0,0,11,"安全ｶﾊﾞｰ開中(LD→全設備)",R,2023/11/17 13:05:16,2023/11/17 13:05:26,****/**/** **:**:**,1,1
0,0,5,"原点復帰完了(LD→全設備)",R,2023/11/17 13:05:18,2023/11/17 13:05:30,****/**/** **:**:**,1,1
0,0,5,"原点復帰完了(LD→全設備)",R,2023/11/17 13:05:34,2023/11/17 13:05:52,****/**/** **:**:**,1,1
0,0,11,"安全ｶﾊﾞｰ開中(LD→全設備)",R,2023/11/17 13:05:38,2023/11/17 13:05:56,****/**/** **:**:**,1,1
0,0,4,"原点復帰モード(LD→全設備)",R,2023/11/17 13:06:10,2023/11/17 13:06:12,****/**/** **:**:**,1,1
0,0,3,"手動モード(LD→全設備）",R,2023/11/17 13:06:12,2023/11/17 13:07:04,****/**/** **:**:**,1,1
0,0,5,"原点復帰完了(LD→全設備)",R,2023/11/17 13:06:12,2023/11/17 13:06:36,****/**/** **:**:**,1,1
0,0,5,"原点復帰完了(LD→全設備)",R,2023/11/17 13:06:50,2023/11/17 14:03:22,****/**/** **:**:**,1,1
0,0,6,"自動モード(LD→全設備)",R,2023/11/17 13:07:04,2023/11/17 13:56:08,****/**/** **:**:**,1,1
0,0,12,"不足、満杯中(LD→全設備)",R,2023/11/17 13:07:04,2023/11/17 13:56:08,****/**/** **:**:**,1,1
0,0,8,"運転中(LD→全設備)",R,2023/11/17 13:07:24,2023/11/17 13:07:32,****/**/** **:**:**,1,1
0,0,11,"安全ｶﾊﾞｰ開中(LD→全設備)",R,2023/11/17 13:40:08,2023/11/17 13:41:14,****/**/** **:**:**,1,1
0,0,3,"手動モード(LD→全設備）",R,2023/11/17 13:56:08,2023/11/17 14:23:54,****/**/** **:**:**,1,1
0,0,5,"原点復帰完了(LD→全設備)",R,2023/11/17 14:03:38,2023/11/17 14:12:00,****/**/** **:**:**,1,1
0,0,5,"原点復帰完了(LD→全設備)",R,2023/11/17 14:12:02,2023/11/17 14:24:06,****/**/** **:**:**,1,1
0,0,6,"自動モード(LD→全設備)",R,2023/11/17 14:23:54,2023/11/17 14:50:34,****/**/** **:**:**,1,1
0,0,12,"不足、満杯中(LD→全設備)",R,2023/11/17 14:23:54,2023/11/17 14:50:34,****/**/** **:**:**,1,1
0,0,8,"運転中(LD→全設備)",R,2023/11/17 14:24:06,2023/11/17 14:50:32,****/**/** **:**:**,1,1
0,0,9,"異常中(LD→全設備)",R,2023/11/17 14:25:32,2023/11/17 14:26:50,****/**/** **:**:**,1,1
