:GT2K_ALARM_LOG_HISTORY,0
:ALARM_ID,11
:ALARM_NAME,"1_MSAPシード剥離_ALM"
:RECORD_NUM,5000
:COMMENT_GROUP_GENERAL_ID,11
:COMMENT_GROUP_MIDDLE_ID,0
:COMMENT_GROUP_UPPER_ID,0
:COMMENT_GROUP_DETAIL_ID,0
:ALARM_HISTORY_NUM,5000
:NOT_RESUMED_NUM,0
:UNCONFIRMED_NUM,5000
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,
UPPER_NO,MIDDLE_NO,COMMENT_NO,COMMENT,STATUS,OCCURRED,RESTORED,CHECKED,LEVEL,GROUP
0,0,143,"水洗7槽LL",R,2023/04/10 21:18:56,2023/04/11 06:04:06,****/**/** **:**:**,1,1
0,0,141,"水洗6槽LL",R,2023/04/10 21:19:48,2023/04/11 06:04:06,****/**/** **:**:**,1,1
0,0,140,"水洗5槽LL",R,2023/04/10 21:19:52,2023/04/11 06:04:06,****/**/** **:**:**,1,1
0,0,139,"水洗4槽LL",R,2023/04/10 21:20:08,2023/04/11 06:04:06,****/**/** **:**:**,1,1
0,0,135,"水洗1槽LL",R,2023/04/10 21:20:28,2023/04/11 06:04:06,****/**/** **:**:**,1,1
0,0,137,"水洗3槽LL",R,2023/04/10 21:20:50,2023/04/11 06:04:06,****/**/** **:**:**,1,1
0,0,136,"水洗2槽LL",R,2023/04/10 21:21:02,2023/04/11 06:04:06,****/**/** **:**:**,1,1
0,0,133,"水ｶｰﾃﾝ槽LL",R,2023/04/10 21:21:14,2023/04/11 06:04:06,****/**/** **:**:**,1,1
0,0,66,"ｴｯﾁﾝｸﾞ槽温度下限異常",R,2023/04/11 06:04:50,2023/04/11 06:04:54,****/**/** **:**:**,1,1
0,0,88,"搬送異常",R,2023/04/11 07:27:42,2023/04/11 07:29:10,****/**/** **:**:**,1,1
0,0,120,"ｱﾙｶﾘ洗浄槽HH",R,2023/04/11 07:53:11,2023/04/11 08:06:35,****/**/** **:**:**,1,1
0,0,121,"酸洗浄槽HH",R,2023/04/11 07:53:11,2023/04/11 08:06:35,****/**/** **:**:**,1,1
0,0,121,"酸洗浄槽HH",R,2023/04/11 10:30:53,2023/04/11 10:31:01,****/**/** **:**:**,1,1
0,0,120,"ｱﾙｶﾘ洗浄槽HH",R,2023/04/11 11:09:09,2023/04/11 17:09:45,****/**/** **:**:**,1,1
0,0,121,"酸洗浄槽HH",R,2023/04/11 11:09:11,2023/04/11 17:09:45,****/**/** **:**:**,1,1
0,0,145,"水洗9槽LL",R,2023/04/11 20:57:04,2023/04/12 06:04:58,****/**/** **:**:**,1,1
0,0,144,"水洗8槽LL",R,2023/04/11 20:57:14,2023/04/12 06:04:58,****/**/** **:**:**,1,1
0,0,143,"水洗7槽LL",R,2023/04/11 20:57:16,2023/04/12 06:04:58,****/**/** **:**:**,1,1
0,0,141,"水洗6槽LL",R,2023/04/11 20:57:44,2023/04/12 06:04:58,****/**/** **:**:**,1,1
0,0,140,"水洗5槽LL",R,2023/04/11 20:57:56,2023/04/12 06:04:58,****/**/** **:**:**,1,1
0,0,139,"水洗4槽LL",R,2023/04/11 20:58:00,2023/04/12 06:04:58,****/**/** **:**:**,1,1
0,0,135,"水洗1槽LL",R,2023/04/11 20:58:06,2023/04/12 06:04:58,****/**/** **:**:**,1,1
0,0,137,"水洗3槽LL",R,2023/04/11 20:58:18,2023/04/12 06:04:58,****/**/** **:**:**,1,1
0,0,136,"水洗2槽LL",R,2023/04/11 20:58:22,2023/04/12 06:04:58,****/**/** **:**:**,1,1
0,0,133,"水ｶｰﾃﾝ槽LL",R,2023/04/11 20:58:52,2023/04/12 06:04:58,****/**/** **:**:**,1,1
0,0,66,"ｴｯﾁﾝｸﾞ槽温度下限異常",R,2023/04/12 06:05:38,2023/04/12 06:05:42,****/**/** **:**:**,1,1
0,0,113,"上流装置受け入れ搬送異常",R,2023/04/12 06:47:20,2023/04/12 06:48:00,****/**/** **:**:**,1,1
0,0,121,"酸洗浄槽HH",R,2023/04/12 07:31:02,2023/04/12 07:38:26,****/**/** **:**:**,1,1
0,0,121,"酸洗浄槽HH",R,2023/04/12 10:36:24,2023/04/12 11:05:15,****/**/** **:**:**,1,1
0,0,120,"ｱﾙｶﾘ洗浄槽HH",R,2023/04/12 10:36:36,2023/04/12 11:05:15,****/**/** **:**:**,1,1
0,0,120,"ｱﾙｶﾘ洗浄槽HH",R,2023/04/12 11:12:19,2023/04/12 14:07:19,****/**/** **:**:**,1,1
0,0,66,"ｴｯﾁﾝｸﾞ槽温度下限異常",R,2023/04/12 19:39:26,2023/04/12 19:39:52,****/**/** **:**:**,1,1
0,0,121,"酸洗浄槽HH",R,2023/04/12 20:21:57,2023/04/12 20:22:43,****/**/** **:**:**,1,1
0,0,120,"ｱﾙｶﾘ洗浄槽HH",R,2023/04/12 20:40:05,2023/04/12 20:46:49,****/**/** **:**:**,1,1
