:GT2K_LOG,1
:LOGGING_ID,14
:LOGGING_NAME,"シード剥離_導電率"
:SERIAL_ID,41
:DEVICE_NUM,3
:RECORD_NUM,120
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,
:DEV_COMMENT,"設備コード","モデル名","導電率"
:DEV_TYPE,STRING,STRING,BIN16
:DISP_TYPE,ASC,ASC,DEC
:DEV_SIZE,3,6,1
2024/03/11 00:01:09,,"LEV50001_020",2349
2024/03/11 00:01:39,,"LEV50001_020",2344
2024/03/11 00:02:09,,"LEV50001_020",2331
2024/03/11 00:02:39,,"LEV50001_020",2325
2024/03/11 00:03:09,,"LEV50001_020",2313
2024/03/11 00:03:39,,"LEV50001_020",2236
2024/03/11 00:04:09,,"LEV50001_020",2253
2024/03/11 00:04:39,,"LEV50001_020",2476
2024/03/11 00:05:09,,"LEV50001_020",2311
2024/03/11 00:05:39,,"LEV50001_020",2294
2024/03/11 00:06:09,,"LEV50001_020",2265
2024/03/11 00:06:39,,"LEV50001_020",2390
2024/03/11 00:07:09,,"LEV50001_020",2268
2024/03/11 00:07:39,,"LEV50001_020",2319
2024/03/11 00:08:09,,"LEV50001_020",2229
2024/03/11 00:08:39,,"LEV50001_020",2441
2024/03/11 00:09:09,,"LEV50001_020",2389
2024/03/11 00:09:39,,"LEV50001_020",2396
2024/03/11 00:10:09,,"LEV50001_020",2238
2024/03/11 00:10:39,,"LEV50001_020",2389
2024/03/11 00:11:09,,"LEV50001_020",2260
2024/03/11 00:11:39,,"LEV50001_020",2246
2024/03/11 00:12:09,,"LEV50001_020",2391
2024/03/11 00:12:39,,"LEV50001_020",2314
2024/03/11 00:13:09,,"LEV50001_020",2319
2024/03/11 00:13:39,,"LEV50001_020",2388
2024/03/11 00:14:09,,"LEV50001_020",2298
2024/03/11 00:14:39,,"LEV50001_020",2271
2024/03/11 00:15:13,,"LEV50001_020",2400
2024/03/11 00:15:42,,"LEV50001_020",2274
2024/03/11 00:16:13,,"LEV50001_020",2558
