:GT2K_LOG,1
:LOGGING_ID,14
:LOGGING_NAME,"シード剥離_導電率"
:SERIAL_ID,48
:DEVICE_NUM,3
:RECORD_NUM,120
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,
:DEV_COMMENT,"設備コード","モデル名","導電率"
:DEV_TYPE,STRING,STRING,BIN16
:DISP_TYPE,ASC,ASC,DEC
:DEV_SIZE,3,6,1
2024/03/11 07:01:09,,"LEV50001_020",2329
2024/03/11 07:01:40,,"LEV50001_020",2408
2024/03/11 07:02:09,,"LEV50001_020",2516
2024/03/11 07:02:39,,"LEV50001_020",2320
2024/03/11 07:03:09,,"LEV50001_020",2324
2024/03/11 07:03:39,,"LEV50001_020",2426
2024/03/11 07:04:09,,"LEV50001_020",2325
2024/03/11 07:04:39,,"LEV50001_020",2443
2024/03/11 07:05:10,,"LEV50001_020",2421
2024/03/11 07:05:39,,"LEV50001_020",2360
2024/03/11 07:06:09,,"LEV50001_020",2286
2024/03/11 07:06:39,,"LEV50001_020",2401
2024/03/11 07:07:10,,"LEV50001_020",2320
2024/03/11 07:07:39,,"LEV50001_020",2291
2024/03/11 07:08:10,,"LEV50001_020",2310
2024/03/11 07:08:39,,"LEV50001_020",2345
2024/03/11 07:09:09,,"LEV50001_020",2351
2024/03/11 07:09:40,,"LEV50001_020",2293
2024/03/11 07:10:09,,"LEV50001_020",2319
2024/03/11 07:10:39,,"LEV50001_020",2419
2024/03/11 07:11:09,,"LEV50001_020",2349
2024/03/11 07:11:39,,"LEV50001_020",2323
2024/03/11 07:12:09,,"LEV50001_020",2329
2024/03/11 07:12:39,,"LEV50001_020",2383
2024/03/11 07:13:09,,"LEV50001_020",2403
2024/03/11 07:13:40,,"LEV50001_020",2306
2024/03/11 07:14:10,,"LEV50001_020",2405
2024/03/11 07:14:39,,"LEV50001_020",2251
2024/03/11 07:15:12,,"LEV50001_020",2340
2024/03/11 07:15:42,,"LEV50001_020",2299
2024/03/11 07:16:13,,"LEV50001_020",2300
