:GT2K_LOG,1
:LOGGING_ID,14
:LOGGING_NAME,"シード剥離_導電率"
:SERIAL_ID,52
:DEVICE_NUM,3
:RECORD_NUM,120
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,
:DEV_COMMENT,"設備コード","モデル名","導電率"
:DEV_TYPE,STRING,STRING,BIN16
:DISP_TYPE,ASC,ASC,DEC
:DEV_SIZE,3,6,1
2024/03/11 11:01:10,,"LEV50001_020",2285
2024/03/11 11:01:40,,"LEV50001_020",2318
2024/03/11 11:02:10,,"LEV50001_020",2188
2024/03/11 11:02:40,,"LEV50001_020",2221
2024/03/11 11:03:10,,"LEV50001_020",2173
2024/03/11 11:03:40,,"LEV50001_020",2271
2024/03/11 11:04:10,,"LEV50001_020",2241
2024/03/11 11:04:40,,"LEV50001_020",2141
2024/03/11 11:05:10,,"LEV50001_020",2288
2024/03/11 11:05:40,,"LEV50001_020",2178
2024/03/11 11:06:10,,"LEV50001_020",2199
2024/03/11 11:06:40,,"LEV50001_020",2235
2024/03/11 11:07:10,,"LEV50001_020",2166
2024/03/11 11:07:40,,"LEV50001_020",2298
2024/03/11 11:08:10,,"LEV50001_020",2224
2024/03/11 11:08:40,,"LEV50001_020",2264
2024/03/11 11:09:10,,"LEV50001_020",2173
2024/03/11 11:09:40,,"LEV50001_020",2245
2024/03/11 11:10:09,,"LEV50001_020",2144
2024/03/11 11:10:39,,"LEV50001_020",2171
2024/03/11 11:11:10,,"LEV50001_020",2163
2024/03/11 11:11:40,,"LEV50001_020",2254
2024/03/11 11:12:10,,"LEV50001_020",2216
2024/03/11 11:12:39,,"LEV50001_020",2338
2024/03/11 11:13:10,,"LEV50001_020",2200
2024/03/11 11:13:40,,"LEV50001_020",2249
2024/03/11 11:14:09,,"LEV50001_020",2350
2024/03/11 11:14:39,,"LEV50001_020",2225
2024/03/11 11:15:13,,"LEV50001_020",2260
2024/03/11 11:15:42,,"LEV50001_020",2161
2024/03/11 11:16:12,,"LEV50001_020",2306
