:GT2K_LOG,1
:LOGGING_ID,14
:LOGGING_NAME,"シード剥離_導電率"
:SERIAL_ID,45
:DEVICE_NUM,3
:RECORD_NUM,120
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,
:DEV_COMMENT,"設備コード","モデル名","導電率"
:DEV_TYPE,STRING,STRING,BIN16
:DISP_TYPE,ASC,ASC,DEC
:DEV_SIZE,3,6,1
2024/03/11 04:01:09,,"LEV50001_020",2294
2024/03/11 04:01:39,,"LEV50001_020",2329
2024/03/11 04:02:09,,"LEV50001_020",2338
2024/03/11 04:02:39,,"LEV50001_020",2228
2024/03/11 04:03:09,,"LEV50001_020",2273
2024/03/11 04:03:39,,"LEV50001_020",2336
2024/03/11 04:04:09,,"LEV50001_020",2220
2024/03/11 04:04:39,,"LEV50001_020",2364
2024/03/11 04:05:09,,"LEV50001_020",2240
2024/03/11 04:05:40,,"LEV50001_020",2309
2024/03/11 04:06:09,,"LEV50001_020",2431
2024/03/11 04:06:39,,"LEV50001_020",2439
2024/03/11 04:07:09,,"LEV50001_020",2235
2024/03/11 04:07:39,,"LEV50001_020",2318
2024/03/11 04:08:09,,"LEV50001_020",2283
2024/03/11 04:08:39,,"LEV50001_020",2331
2024/03/11 04:09:09,,"LEV50001_020",2304
2024/03/11 04:09:39,,"LEV50001_020",2330
2024/03/11 04:10:09,,"LEV50001_020",2208
2024/03/11 04:10:39,,"LEV50001_020",2281
2024/03/11 04:11:09,,"LEV50001_020",2348
2024/03/11 04:11:39,,"LEV50001_020",2209
2024/03/11 04:12:09,,"LEV50001_020",2283
2024/03/11 04:12:39,,"LEV50001_020",2341
2024/03/11 04:13:09,,"LEV50001_020",2301
2024/03/11 04:13:39,,"LEV50001_020",2213
2024/03/11 04:14:09,,"LEV50001_020",2234
2024/03/11 04:14:39,,"LEV50001_020",2368
2024/03/11 04:15:09,,"LEV50001_020",2370
2024/03/11 04:15:42,,"LEV50001_020",2271
2024/03/11 04:16:13,,"LEV50001_020",2370
