:GT2K_LOG,1
:LOGGING_ID,14
:LOGGING_NAME,"シード剥離_導電率"
:SERIAL_ID,42
:DEVICE_NUM,3
:RECORD_NUM,120
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,
:DEV_COMMENT,"設備コード","モデル名","導電率"
:DEV_TYPE,STRING,STRING,BIN16
:DISP_TYPE,ASC,ASC,DEC
:DEV_SIZE,3,6,1
2024/03/11 01:01:09,,"LEV50001_020",2290
2024/03/11 01:01:39,,"LEV50001_020",2350
2024/03/11 01:02:09,,"LEV50001_020",2250
2024/03/11 01:02:39,,"LEV50001_020",2269
2024/03/11 01:03:09,,"LEV50001_020",2328
2024/03/11 01:03:39,,"LEV50001_020",2323
2024/03/11 01:04:09,,"LEV50001_020",2379
2024/03/11 01:04:39,,"LEV50001_020",2250
2024/03/11 01:05:09,,"LEV50001_020",2343
2024/03/11 01:05:39,,"LEV50001_020",2346
2024/03/11 01:06:09,,"LEV50001_020",2304
2024/03/11 01:06:39,,"LEV50001_020",2299
2024/03/11 01:07:09,,"LEV50001_020",2244
2024/03/11 01:07:39,,"LEV50001_020",2346
2024/03/11 01:08:09,,"LEV50001_020",2434
2024/03/11 01:08:39,,"LEV50001_020",2283
2024/03/11 01:09:09,,"LEV50001_020",2373
2024/03/11 01:09:39,,"LEV50001_020",2261
2024/03/11 01:10:09,,"LEV50001_020",2334
2024/03/11 01:10:39,,"LEV50001_020",2360
2024/03/11 01:11:09,,"LEV50001_020",2301
2024/03/11 01:11:39,,"LEV50001_020",2378
2024/03/11 01:12:09,,"LEV50001_020",2284
2024/03/11 01:12:39,,"LEV50001_020",2349
2024/03/11 01:13:09,,"LEV50001_020",2274
2024/03/11 01:13:39,,"LEV50001_020",2270
2024/03/11 01:14:09,,"LEV50001_020",2385
2024/03/11 01:14:39,,"LEV50001_020",2298
2024/03/11 01:15:14,,"LEV50001_020",2423
2024/03/11 01:15:43,,"LEV50001_020",2323
2024/03/11 01:16:14,,"LEV50001_020",2284
