:GT2K_LOG,1
:LOGGING_ID,14
:LOGGING_NAME,"シード剥離_導電率"
:SERIAL_ID,40
:DEVICE_NUM,3
:RECORD_NUM,120
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,
:DEV_COMMENT,"設備コード","モデル名","導電率"
:DEV_TYPE,STRING,STRING,BIN16
:DISP_TYPE,ASC,ASC,DEC
:DEV_SIZE,3,6,1
2024/03/10 23:01:09,,"LEV50001_020",2350
2024/03/10 23:01:39,,"LEV50001_020",2405
2024/03/10 23:02:09,,"LEV50001_020",2411
2024/03/10 23:02:39,,"LEV50001_020",2358
2024/03/10 23:03:09,,"LEV50001_020",2414
2024/03/10 23:03:39,,"LEV50001_020",2525
2024/03/10 23:04:09,,"LEV50001_020",2281
2024/03/10 23:04:39,,"LEV50001_020",2369
2024/03/10 23:05:09,,"LEV50001_020",2338
2024/03/10 23:05:40,,"LEV50001_020",2345
2024/03/10 23:06:09,,"LEV50001_020",2320
2024/03/10 23:06:39,,"LEV50001_020",2421
2024/03/10 23:07:09,,"LEV50001_020",2405
2024/03/10 23:07:39,,"LEV50001_020",2354
2024/03/10 23:08:09,,"LEV50001_020",2413
2024/03/10 23:08:39,,"LEV50001_020",2248
2024/03/10 23:09:09,,"LEV50001_020",2399
2024/03/10 23:09:39,,"LEV50001_020",2451
2024/03/10 23:10:09,,"LEV50001_020",2408
2024/03/10 23:10:39,,"LEV50001_020",2343
2024/03/10 23:11:09,,"LEV50001_020",2378
2024/03/10 23:11:39,,"LEV50001_020",2380
2024/03/10 23:12:09,,"LEV50001_020",2343
2024/03/10 23:12:39,,"LEV50001_020",2280
2024/03/10 23:13:09,,"LEV50001_020",2439
2024/03/10 23:13:39,,"LEV50001_020",2350
2024/03/10 23:14:09,,"LEV50001_020",2374
2024/03/10 23:14:39,,"LEV50001_020",2404
2024/03/10 23:15:13,,"LEV50001_020",2275
2024/03/10 23:15:43,,"LEV50001_020",2313
2024/03/10 23:16:13,,"LEV50001_020",2314
