:GT2K_LOG,1
:LOGGING_ID,14
:LOGGING_NAME,"シード剥離_導電率"
:SERIAL_ID,51
:DEVICE_NUM,3
:RECORD_NUM,120
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,
:DEV_COMMENT,"設備コード","モデル名","導電率"
:DEV_TYPE,STRING,STRING,BIN16
:DISP_TYPE,ASC,ASC,DEC
:DEV_SIZE,3,6,1
2024/03/11 10:01:09,,"LEV50001_020",2394
2024/03/11 10:01:39,,"LEV50001_020",2248
2024/03/11 10:02:09,,"LEV50001_020",2408
2024/03/11 10:02:39,,"LEV50001_020",2305
2024/03/11 10:03:09,,"LEV50001_020",2486
2024/03/11 10:03:39,,"LEV50001_020",2413
2024/03/11 10:04:09,,"LEV50001_020",2386
2024/03/11 10:04:39,,"LEV50001_020",2199
2024/03/11 10:05:09,,"LEV50001_020",2294
2024/03/11 10:05:39,,"LEV50001_020",2336
2024/03/11 10:06:09,,"LEV50001_020",2324
2024/03/11 10:06:39,,"LEV50001_020",2369
2024/03/11 10:07:09,,"LEV50001_020",2398
2024/03/11 10:07:39,,"LEV50001_020",2281
2024/03/11 10:08:09,,"LEV50001_020",2386
2024/03/11 10:08:39,,"LEV50001_020",2365
2024/03/11 10:09:09,,"LEV50001_020",2328
2024/03/11 10:09:39,,"LEV50001_020",2286
2024/03/11 10:10:09,,"LEV50001_020",2266
2024/03/11 10:10:39,,"LEV50001_020",2520
2024/03/11 10:11:09,,"LEV50001_020",2231
2024/03/11 10:11:39,,"LEV50001_020",2451
2024/03/11 10:12:09,,"LEV50001_020",2239
2024/03/11 10:12:39,,"LEV50001_020",2369
2024/03/11 10:13:09,,"LEV50001_020",2258
2024/03/11 10:13:39,,"LEV50001_020",2358
2024/03/11 10:14:09,,"LEV50001_020",2333
2024/03/11 10:14:39,,"LEV50001_020",2311
2024/03/11 10:15:13,,"LEV50001_020",2343
2024/03/11 10:15:42,,"LEV50001_020",2256
2024/03/11 10:16:12,,"LEV50001_020",2301
