:GT2K_LOG,1
:LOGGING_ID,14
:LOGGING_NAME,"シード剥離_導電率"
:SERIAL_ID,43
:DEVICE_NUM,3
:RECORD_NUM,120
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,
:DEV_COMMENT,"設備コード","モデル名","導電率"
:DEV_TYPE,STRING,STRING,BIN16
:DISP_TYPE,ASC,ASC,DEC
:DEV_SIZE,3,6,1
2024/03/11 02:01:10,,"LEV50001_020",2340
2024/03/11 02:01:40,,"LEV50001_020",2355
2024/03/11 02:02:10,,"LEV50001_020",2200
2024/03/11 02:02:40,,"LEV50001_020",2254
2024/03/11 02:03:10,,"LEV50001_020",2275
2024/03/11 02:03:40,,"LEV50001_020",2295
2024/03/11 02:04:10,,"LEV50001_020",2396
2024/03/11 02:04:40,,"LEV50001_020",2264
2024/03/11 02:05:10,,"LEV50001_020",2335
2024/03/11 02:05:40,,"LEV50001_020",2358
2024/03/11 02:06:10,,"LEV50001_020",2310
2024/03/11 02:06:40,,"LEV50001_020",2333
2024/03/11 02:07:10,,"LEV50001_020",2285
2024/03/11 02:07:40,,"LEV50001_020",2384
2024/03/11 02:08:10,,"LEV50001_020",2233
2024/03/11 02:08:40,,"LEV50001_020",2243
2024/03/11 02:09:10,,"LEV50001_020",2541
2024/03/11 02:09:40,,"LEV50001_020",2226
2024/03/11 02:10:10,,"LEV50001_020",2318
2024/03/11 02:10:40,,"LEV50001_020",2211
2024/03/11 02:11:10,,"LEV50001_020",2351
2024/03/11 02:11:40,,"LEV50001_020",2233
2024/03/11 02:12:10,,"LEV50001_020",2343
2024/03/11 02:12:40,,"LEV50001_020",2128
2024/03/11 02:13:10,,"LEV50001_020",2125
2024/03/11 02:13:40,,"LEV50001_020",2124
2024/03/11 02:14:10,,"LEV50001_020",2121
2024/03/11 02:14:40,,"LEV50001_020",2133
2024/03/11 02:15:13,,"LEV50001_020",2124
2024/03/11 02:15:44,,"LEV50001_020",2130
2024/03/11 02:16:13,,"LEV50001_020",2126
