:GT2K_LOG,1
:LOGGING_ID,14
:LOGGING_NAME,"シード剥離_導電率"
:SERIAL_ID,44
:DEVICE_NUM,3
:RECORD_NUM,120
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,
:DEV_COMMENT,"設備コード","モデル名","導電率"
:DEV_TYPE,STRING,STRING,BIN16
:DISP_TYPE,ASC,ASC,DEC
:DEV_SIZE,3,6,1
2024/03/11 03:01:09,,"LEV50001_020",2126
2024/03/11 03:01:39,,"LEV50001_020",2204
2024/03/11 03:02:09,,"LEV50001_020",2189
2024/03/11 03:02:40,,"LEV50001_020",2208
2024/03/11 03:03:09,,"LEV50001_020",2148
2024/03/11 03:03:39,,"LEV50001_020",2131
2024/03/11 03:04:09,,"LEV50001_020",2146
2024/03/11 03:04:40,,"LEV50001_020",2151
2024/03/11 03:05:09,,"LEV50001_020",2185
2024/03/11 03:05:39,,"LEV50001_020",2131
2024/03/11 03:06:09,,"LEV50001_020",2163
2024/03/11 03:06:39,,"LEV50001_020",2139
2024/03/11 03:07:09,,"LEV50001_020",2180
2024/03/11 03:07:39,,"LEV50001_020",2146
2024/03/11 03:08:09,,"LEV50001_020",2148
2024/03/11 03:08:39,,"LEV50001_020",2189
2024/03/11 03:09:09,,"LEV50001_020",2154
2024/03/11 03:09:39,,"LEV50001_020",2136
2024/03/11 03:10:09,,"LEV50001_020",2196
2024/03/11 03:10:39,,"LEV50001_020",2160
2024/03/11 03:11:09,,"LEV50001_020",2141
2024/03/11 03:11:39,,"LEV50001_020",2135
2024/03/11 03:12:09,,"LEV50001_020",2149
2024/03/11 03:12:39,,"LEV50001_020",2136
2024/03/11 03:13:09,,"LEV50001_020",2133
2024/03/11 03:13:39,,"LEV50001_020",2181
2024/03/11 03:14:09,,"LEV50001_020",2160
2024/03/11 03:14:39,,"LEV50001_020",2159
2024/03/11 03:15:14,,"LEV50001_020",2154
2024/03/11 03:15:41,,"LEV50001_020",2159
2024/03/11 03:16:10,,"LEV50001_020",2135
