:GT2K_LOG,1
:LOGGING_ID,14
:LOGGING_NAME,"シード剥離_導電率"
:SERIAL_ID,53
:DEVICE_NUM,3
:RECORD_NUM,120
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,
:DEV_COMMENT,"設備コード","モデル名","導電率"
:DEV_TYPE,STRING,STRING,BIN16
:DISP_TYPE,ASC,ASC,DEC
:DEV_SIZE,3,6,1
2024/03/11 12:01:09,,"LEV50001_020",2328
2024/03/11 12:01:39,,"LEV50001_020",2231
2024/03/11 12:02:09,,"LEV50001_020",2290
2024/03/11 12:02:39,,"LEV50001_020",2193
2024/03/11 12:03:09,,"LEV50001_020",2250
2024/03/11 12:03:39,,"LEV50001_020",2303
2024/03/11 12:04:09,,"LEV50001_020",2320
2024/03/11 12:04:39,,"LEV50001_020",2213
2024/03/11 12:05:09,,"LEV50001_020",2275
2024/03/11 12:05:39,,"LEV50001_020",2234
2024/03/11 12:06:09,,"LEV50001_020",2258
2024/03/11 12:06:39,,"LEV50001_020",2174
2024/03/11 12:07:09,,"LEV50001_020",2246
2024/03/11 12:07:39,,"LEV50001_020",2158
2024/03/11 12:08:09,,"LEV50001_020",2298
2024/03/11 12:08:39,,"LEV50001_020",2194
2024/03/11 12:09:09,,"LEV50001_020",2279
2024/03/11 12:09:39,,"LEV50001_020",2160
2024/03/11 12:10:09,,"LEV50001_020",2346
2024/03/11 12:10:39,,"LEV50001_020",2243
2024/03/11 12:11:09,,"LEV50001_020",2306
2024/03/11 12:11:39,,"LEV50001_020",2203
2024/03/11 12:12:09,,"LEV50001_020",2278
2024/03/11 12:12:39,,"LEV50001_020",2215
2024/03/11 12:13:09,,"LEV50001_020",2246
2024/03/11 12:13:39,,"LEV50001_020",2236
2024/03/11 12:14:09,,"LEV50001_020",2335
2024/03/11 12:14:39,,"LEV50001_020",2280
2024/03/11 12:15:13,,"LEV50001_020",2170
2024/03/11 12:15:43,,"LEV50001_020",2251
2024/03/11 12:16:13,,"LEV50001_020",2301
