:GT2K_LOG,1
:LOGGING_ID,14
:LOGGING_NAME,"シード剥離_導電率"
:SERIAL_ID,47
:DEVICE_NUM,3
:RECORD_NUM,120
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,
:DEV_COMMENT,"設備コード","モデル名","導電率"
:DEV_TYPE,STRING,STRING,BIN16
:DISP_TYPE,ASC,ASC,DEC
:DEV_SIZE,3,6,1
2024/03/11 06:01:10,,"LEV50001_020",2295
2024/03/11 06:01:40,,"LEV50001_020",2384
2024/03/11 06:02:10,,"LEV50001_020",2283
2024/03/11 06:02:40,,"LEV50001_020",2421
2024/03/11 06:03:10,,"LEV50001_020",2325
2024/03/11 06:03:40,,"LEV50001_020",2411
2024/03/11 06:04:10,,"LEV50001_020",2286
2024/03/11 06:04:40,,"LEV50001_020",2278
2024/03/11 06:05:10,,"LEV50001_020",2431
2024/03/11 06:05:40,,"LEV50001_020",2285
2024/03/11 06:06:10,,"LEV50001_020",2350
2024/03/11 06:06:40,,"LEV50001_020",2375
2024/03/11 06:07:10,,"LEV50001_020",2449
2024/03/11 06:07:40,,"LEV50001_020",2338
2024/03/11 06:08:10,,"LEV50001_020",2334
2024/03/11 06:08:40,,"LEV50001_020",2334
2024/03/11 06:09:10,,"LEV50001_020",2356
2024/03/11 06:09:40,,"LEV50001_020",2381
2024/03/11 06:10:10,,"LEV50001_020",2381
2024/03/11 06:10:40,,"LEV50001_020",2260
2024/03/11 06:11:10,,"LEV50001_020",2404
2024/03/11 06:11:40,,"LEV50001_020",2319
2024/03/11 06:12:10,,"LEV50001_020",2268
2024/03/11 06:12:40,,"LEV50001_020",2294
2024/03/11 06:13:10,,"LEV50001_020",2330
2024/03/11 06:13:40,,"LEV50001_020",2410
2024/03/11 06:14:10,,"LEV50001_020",2286
2024/03/11 06:14:40,,"LEV50001_020",2420
2024/03/11 06:15:12,,"LEV50001_020",2284
2024/03/11 06:15:43,,"LEV50001_020",2386
2024/03/11 06:16:12,,"LEV50001_020",2351
