:GT2K_LOG,1
:LOGGING_ID,14
:LOGGING_NAME,"シード剥離_導電率"
:SERIAL_ID,49
:DEVICE_NUM,3
:RECORD_NUM,120
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,
:DEV_COMMENT,"設備コード","モデル名","導電率"
:DEV_TYPE,STRING,STRING,BIN16
:DISP_TYPE,ASC,ASC,DEC
:DEV_SIZE,3,6,1
2024/03/11 08:01:09,,"LEV50001_020",2434
2024/03/11 08:01:39,,"LEV50001_020",2280
2024/03/11 08:02:09,,"LEV50001_020",2381
2024/03/11 08:02:39,,"LEV50001_020",2281
2024/03/11 08:03:09,,"LEV50001_020",2303
2024/03/11 08:03:39,,"LEV50001_020",2365
2024/03/11 08:04:09,,"LEV50001_020",2314
2024/03/11 08:04:39,,"LEV50001_020",2385
2024/03/11 08:05:09,,"LEV50001_020",2261
2024/03/11 08:05:39,,"LEV50001_020",2409
2024/03/11 08:06:09,,"LEV50001_020",2221
2024/03/11 08:06:39,,"LEV50001_020",2325
2024/03/11 08:07:09,,"LEV50001_020",2294
2024/03/11 08:07:39,,"LEV50001_020",2486
2024/03/11 08:08:09,,"LEV50001_020",2448
2024/03/11 08:08:39,,"LEV50001_020",2294
2024/03/11 08:09:09,,"LEV50001_020",2253
2024/03/11 08:09:39,,"LEV50001_020",2433
2024/03/11 08:10:09,,"LEV50001_020",2361
2024/03/11 08:10:39,,"LEV50001_020",2343
2024/03/11 08:11:09,,"LEV50001_020",2369
2024/03/11 08:11:39,,"LEV50001_020",2443
2024/03/11 08:12:09,,"LEV50001_020",2430
2024/03/11 08:12:39,,"LEV50001_020",2264
2024/03/11 08:13:09,,"LEV50001_020",2250
2024/03/11 08:13:39,,"LEV50001_020",2368
2024/03/11 08:14:09,,"LEV50001_020",2294
2024/03/11 08:14:39,,"LEV50001_020",2240
2024/03/11 08:15:13,,"LEV50001_020",2378
2024/03/11 08:15:43,,"LEV50001_020",2348
2024/03/11 08:16:14,,"LEV50001_020",2401
