:GT2K_LOG,1
:LOGGING_ID,14
:LOGGING_NAME,"シード剥離_導電率"
:SERIAL_ID,46
:DEVICE_NUM,3
:RECORD_NUM,120
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,
:DEV_COMMENT,"設備コード","モデル名","導電率"
:DEV_TYPE,STRING,STRING,BIN16
:DISP_TYPE,ASC,ASC,DEC
:DEV_SIZE,3,6,1
2024/03/11 05:01:09,,"LEV50001_020",2318
2024/03/11 05:01:39,,"LEV50001_020",2325
2024/03/11 05:02:09,,"LEV50001_020",2380
2024/03/11 05:02:39,,"LEV50001_020",2360
2024/03/11 05:03:09,,"LEV50001_020",2290
2024/03/11 05:03:39,,"LEV50001_020",2329
2024/03/11 05:04:09,,"LEV50001_020",2369
2024/03/11 05:04:39,,"LEV50001_020",2304
2024/03/11 05:05:09,,"LEV50001_020",2258
2024/03/11 05:05:39,,"LEV50001_020",2294
2024/03/11 05:06:09,,"LEV50001_020",2383
2024/03/11 05:06:39,,"LEV50001_020",2290
2024/03/11 05:07:09,,"LEV50001_020",2380
2024/03/11 05:07:39,,"LEV50001_020",2301
2024/03/11 05:08:09,,"LEV50001_020",2398
2024/03/11 05:08:39,,"LEV50001_020",2274
2024/03/11 05:09:09,,"LEV50001_020",2306
2024/03/11 05:09:39,,"LEV50001_020",2409
2024/03/11 05:10:09,,"LEV50001_020",2380
2024/03/11 05:10:39,,"LEV50001_020",2289
2024/03/11 05:11:09,,"LEV50001_020",2361
2024/03/11 05:11:39,,"LEV50001_020",2271
2024/03/11 05:12:09,,"LEV50001_020",2301
2024/03/11 05:12:39,,"LEV50001_020",2283
2024/03/11 05:13:09,,"LEV50001_020",2391
2024/03/11 05:13:39,,"LEV50001_020",2490
2024/03/11 05:14:09,,"LEV50001_020",2363
2024/03/11 05:14:39,,"LEV50001_020",2353
2024/03/11 05:15:12,,"LEV50001_020",2284
2024/03/11 05:15:44,,"LEV50001_020",2350
2024/03/11 05:16:12,,"LEV50001_020",2329
